,source,title,is_clickbait
0,in.reuters.com,"UK, Norway agree right to remain for their citizens after Brexit",0
1,in.reuters.com,"EU opens deeper probe into Thyssenkrupp, Tata steel deal",0
2,in.reuters.com,"Oil prices down more than $1 on rising supply, trade war",0
3,in.reuters.com,Soccer: Former Leicester bosses pay tribute to chairman,0
4,in.reuters.com,CDC confirms 10 new cases of rare polio-like neurological condition,0
5,in.reuters.com,"Apple spruces up Macs, iPad Pros and raises prices",0
6,in.reuters.com,Mastercard says storing India payments data locally in face of new rules,0
7,in.reuters.com,U.S. consumer confidence at 18-year high; house price gains slow,0
8,in.reuters.com,Captured carbon dioxide turned into fish feed,0
9,in.reuters.com,"Stephen Hawking's thesis, wheelchair heading for auction",0
10,in.reuters.com,Disney tells a different 'Nutcracker' story on the big screen,1
11,in.reuters.com,Ocean Shock - Building a Silicon Valley of the Sea,0
12,in.reuters.com,Corrected: Germany's deadliest post-war serial killer: nurse admits killing 100 patients,0
13,in.reuters.com,"Euro zone growth slows in Q3, Italy at zero",0
14,in.reuters.com,Global Markets: Stocks struggle after trade worries send yuan to 10-year low,0
15,in.reuters.com,Special Report - Ocean Shock: Lobster's great migration sets up boom and bust,0
16,in.reuters.com,"Typhoon triggers deadly landslides in Philippines, dozens trapped",0
17,in.reuters.com,"General Electric reveals deeper regulatory probe, restructuring",0
18,in.reuters.com,Rohingya returns to Myanmar must not be rushed or premature - UNHCR,0
19,in.reuters.com,Democrats gain steam in analyst forecasts for U.S. House races,0
20,in.reuters.com,"Oil prices fall more than 1 percent on rising supply, trade war",0
21,in.reuters.com,Warming waters worry Maine's lobstermen,0
22,in.reuters.com,Kids' apps may have a lot more ads than you think,1
23,in.reuters.com,Special Report - Ocean Shock: Big aquaculture bulldozes Borneo,0
24,in.reuters.com,Big aquaculture bulldozes Borneo,0
25,in.reuters.com,"Special Report: Ocean Shock - Fish flee for cooler waters, upending lives in U.S. South",0
26,in.reuters.com,Geoffrey Rush would 'look at me' and growl: actor,0
27,in.reuters.com,Special Report: Ocean Shock - Portugal mourns sardines' escape to cooler waters,0
28,in.reuters.com,Russia's only aircraft carrier damaged after crane falls on it,0
29,in.reuters.com,Ocean Shock: Menus for a warming planet,0
30,in.reuters.com,Funerals begin for Pittsburgh synagogue victims,0
31,in.reuters.com,Details emerge on Indonesia's deadly air disaster,0
32,in.reuters.com,Fans sign book of condolence for Leicester City chairman,0
33,in.reuters.com,Cognizant sees weak fourth quarter as financial services growth drags,0
34,in.reuters.com,BP's profits thunder to 5-year high,0
35,in.reuters.com,Motor racing: Ericsson to switch from F1 to IndyCar,0
36,in.reuters.com,U.N. rights boss calls for international role in Khashoggi inquiry,0
37,in.reuters.com,"EU probes Tata Steel, ThyssenKrupp planned joint venture",0
38,in.reuters.com,African migrants rebuild Casablanca camp destroyed by fire,0
39,in.reuters.com,Dogs snatch Halloween limelight as birth rate plummets,0
40,in.reuters.com,BP earnings soar ahead of U.S. shale deal,0
41,in.reuters.com,U.S. stocks ride higher on trade optimism,0
42,in.reuters.com,Coke profits get health kick in third quarter,0
43,in.reuters.com,U.N. nuclear chief returns to work after unspecified medical treatment,0
44,in.reuters.com,South Sudan rebel leader to return to capital to seal peace deal: spokesman,0
45,in.reuters.com,"VW profit slides, but China offers hope",0
46,in.reuters.com,Infant formula growing pains hurt Reckitt Benckiser sales,0
47,in.reuters.com,Fiat Chrysler's lowered net cash guidance overshadows special dividend pledge,0
48,in.reuters.com,No second referendum on Brexit: PM May,0
49,in.reuters.com,"Pastor tells Jeff Sessions to ""repent""",0
50,in.reuters.com,U.N. sets out massive benefits from air pollution action in Asia,0
51,in.reuters.com,Fiat Chrysler's net cash guidance cut overshadows special dividend pledge,0
52,in.reuters.com,Long-lasting HIV injection is a step closer after second GSK study,0
53,in.reuters.com,Libyan state oil firm demands pay increases for oil workers,0
54,in.reuters.com,Special Report - Ocean Shock: The climate crisis beneath the waves,0
55,in.reuters.com,CORRECTED-Golf-World Golf Foundation defends Hall of Fame's selection policy,0
56,in.reuters.com,Trump to push end to birthright citizenship as U.S. elections loom,0
57,in.reuters.com,Soccer: Real head to Africa to start Copa del Rey campaign,0
58,in.reuters.com,"WestJet Airlines beats on profits, but faces higher cost headwinds",0
59,in.reuters.com,Soccer: Reggae Girlz can show Jamaica is more than just athletics at World Cup,0
60,in.reuters.com,Pittsburgh to bury synagogue massacre victims as protesters await Trump,0
61,in.reuters.com,Strong truck demand drives Cummins third-quarter profit beat,0
62,in.reuters.com,Trump pushes end to birthright citizenship as U.S. elections loom,0
63,in.reuters.com,Pittsburgh mourns synagogue massacre victims as protesters await Trump,0
64,in.reuters.com,"Apple gives aging Macs, iPad Pros an update in New York",0
65,in.reuters.com,"Trump expects 'great deal' with China, but more tariffs if not",0
66,in.reuters.com,"VW profit slumps, but China offers hope",0
67,in.reuters.com,Lebanese government talks hit snag over Sunni representation,0
68,in.reuters.com,Turkish military says kills seven Kurdish militants in northern Iraq,0
69,in.reuters.com,Soccer: Stoke's McClean calls for respect over poppy decision,0
70,in.reuters.com,Trick-or-treating kids at increased risk of traffic fatality,0
71,in.reuters.com,Pittsburgh to bury synagogue shooting victims as Trump faces protest,0
72,in.reuters.com,Puma Energy seeks license for retail fuel sales in India,0
73,in.reuters.com,Bank of Baroda second-quarter profit jumps a fifth on lower bad loans,0
74,in.reuters.com,Tennis: Kasatkina outlasts Wang in Zhuhai opener,0
