source,title,is_clickbait
aljazeera.com,Erdogan: Saudi officials must prove Khashoggi left consulate |  News
aljazeera.com,Why do countries want to buy the Russian S-400? | War & Conflict
aljazeera.com,Cambridge Analytica chief called Barbados leader N-word: Report | UK News
aljazeera.com,Brazil: Haddad needs 'miracle' to beat Bolsonaro for presidency | Brazil News
aljazeera.com, Why the shack dwellers' movement poses a threat to the ANC | Africa
aljazeera.com,Saving the traditional midwife in Guatemala | Guatemala
aljazeera.com,Can Iraq's new prime minister solve its old problems? | Middle East
aljazeera.com,Palu disaster: Road to recovery after escaping the 'Apocalypse'  |  News
aljazeera.com,Profile Jamal Khashoggi: Saudi writer missing in Turkey | Jamal Khashoggi News
aljazeera.com,Schoolgirls beaten in India for confronting sexual harassers | India News
aljazeera.com,Landmark UN climate report warns time quickly running out |  News
aljazeera.com,Libya's eastern forces arrest top Egyptian al-Qaeda fighter |  News
aljazeera.com,Pakistan to seek IMF bailout to overcome financial crisis |  News
aljazeera.com,"Cameroon opposition claims election win, ruling party disagrees |  News"
aljazeera.com,"Pakistan: Ex PMs, journalist appear in court on treason charges |  News"
aljazeera.com,Fear and anger mark Kashmir's first local poll in 13 years |  News
aljazeera.com,Erdogan on Khashoggi vanishing: Upsetting this happens in Turkey | Saudi Arabia News
aljazeera.com,Brazil: Bolsonaro and Haddad face off in second round of election | Brazil News
aljazeera.com,When Melania went to Africa wearing a pith helmet | Trump
aljazeera.com,Haiti earthquake: Hospital struggles to cope with patients |  News
aljazeera.com,The crisis in Cameroon can still be resolved peacefully | Cameroon
aljazeera.com,Jamal Khashoggi: A red line has been crossed | Saudi Arabia
aljazeera.com,"Ayaan Hirsi Ali, Brett Kavanaugh, and imperial feminism | Women's Rights"
aljazeera.com,Low turnout annuls Romanian vote on same-sex marriage | 
aljazeera.com,"Thousands of Italians, migrants rally for accused 'refugee mayor' | "
aljazeera.com,What Indonesia's double disaster left behind: In Pictures | 
aljazeera.com,In Pictures: Indonesia's deadly earthquake and tsunami  | 
aljazeera.com,Immigration 'not a human right': Hungary FM on EU criticism | Hungary
aljazeera.com,Council of Europe urges Croatia to probe police abuse allegations |  News
aljazeera.com,Greece moves refugees from Moria camp to mainland | Greece News
aljazeera.com,Turkey seeks access to search Saudi consulate in Khashoggi case | Turkey News
aljazeera.com,China demands US stop 'misguided actions' amid frosty ties | USA News
aljazeera.com,Some signs of life returning to normal after Indonesia's tsunami | Indonesia News
aljazeera.com,Thousands of Yemeni children malnourished | Yemen News
aljazeera.com,"Economists Nordhaus, Romer awarded 2018 Nobel Prize  |  News"
aljazeera.com,Washed away - Nicaragua begins to recover from Managua floods | Nicaragua News
aljazeera.com,Afghanistan water shortage displaces thousands in Badghis | Afghanistan News
aljazeera.com,China accuses ex-Interpol chief Meng of bribery and corruption |  News
aljazeera.com,Trolls and threats: Online harassment of female journalists | Gender
aljazeera.com,Is Khashoggi the latest victim of Saudi's crackdown on dissent? | Middle East
aljazeera.com,The October Arab-Israeli War of 1973: What happened? | Israel
aljazeera.com,Libyan PM looks to broaden support with cabinet reshuffle  | Libya News
aljazeera.com,Saudi Arabia will allow Turkey to search consulate for Khashoggi  | Turkey News
aljazeera.com,Saudi Arabia denies killing of Khashoggi inside Turkey consulate | Saudi Arabia News
