,source,title,is_clickbait
0,mediabistro.com,Frequently Asked Questions,1
1,mediabistro.com,Lauren Krouse,0
2,mediabistro.com,Morris Stubbs,0
3,mediabistro.com,Meredith Corporation,0
4,mediabistro.com,Group Nine Media,0
5,mediabistro.com,Susan Kirschbaum,0
6,mediabistro.com,How to Read Between the Lines of a Job Posting,1
7,mediabistro.com,“Why Are You Looking for a New Job?”: How to Answer This Interview Question,1
8,mediabistro.com,7 Red Flags on Your Resume—and How to Fix ‘Em Fast,1
9,mediabistro.com,How to Pitch: Good Housekeeping,1
10,mediabistro.com,What Does a Proofreader Do?,1
11,mediabistro.com,6 Easy Ways to Improve Your Writing Skills,1
12,mediabistro.com,What Does a Content Strategist Do?,1
13,mediabistro.com,What Does a Communications Manager Do?,1
14,mediabistro.com,Social Media Metrics vs. Social Media Analytics: Why You Need to Understand the Difference,1
15,mediabistro.com,Lorne Bell,0
16,mediabistro.com,What Does a Video Producer Do?,1
17,mediabistro.com,Nailed the Interview but Didn’t Get the Job? Here’s Why,1
18,mediabistro.com,Breaking into Medical Writing and Editing,0
19,mediabistro.com,What Is Corporate Writing and Why Is It Such a Great Gig?,1
20,mediabistro.com,No One Is Responding to My Job Applications. What Should I Do?,1
21,mediabistro.com,6 Secrets to Success as a Social Media Manager,0
22,mediabistro.com,What Does a Community Manager Do?,1
23,mediabistro.com,What Does an Account Manager Do?,1
24,mediabistro.com,Why You Shouldn’t ‘Friend’ Your Employees,1
25,mediabistro.com,What Does a Copy Editor Do?,1
26,mediabistro.com,How I Broke Into Social Media,1
27,mediabistro.com,6 Awesome Careers for Writers,0
28,mediabistro.com,Does Your Right to Free Speech Extend to the Workplace?,1
29,mediabistro.com,4 Things Writers Need to Know About Fact-checking,1
30,mediabistro.com,Nicole Ortiz,0
31,mediabistro.com,What Does a Digital Marketing Manager Do?,0
32,mediabistro.com,How I Broke Into Technical Writing—and Why You Should Too,1
33,mediabistro.com,The Importance of Mentorship in the Communications Field,0
34,mediabistro.com,What Does a Managing Editor Do?,1
35,mediabistro.com,What Does an Account Executive Do?,1
36,mediabistro.com,6 Ways to Track Down a Magazine Editor,0
37,mediabistro.com,What Does a Content Specialist Do?,1
38,mediabistro.com,How to Get a Job in Social Media,1
39,mediabistro.com,What Does a Creative Director Do?,1
40,mediabistro.com,How to Build a Career in Digital Video Production,0
41,mediabistro.com,What Should I Wear to the Job Interview?,1
42,mediabistro.com,What Does a Brand Manager Do?,1
43,mediabistro.com,What Does an Event Planner Do?,1
44,mediabistro.com,What Journalists Should Know Before Switching to PR,1
45,mediabistro.com,10 Hot Jobs in Photography,0
46,mediabistro.com,How to Rid Yourself of Job Search Stress,1
47,mediabistro.com,What Does a Business Development Director Do?,0
48,mediabistro.com,10 Digital Skills Every Media Pro Needs to Master,0
49,mediabistro.com,5 Budget-Friendly Ways to Reward Your Employees,1
50,mediabistro.com,5 Bad Writing Habits You Need to Break Now,1
51,mediabistro.com,Here’s Why to Ask Your Boss for a Review,1
52,mediabistro.com,You Got a Job Offer. Now What?,1
53,mediabistro.com,12 Marketing Terms Newbies Absolutely Need to Know,1
54,mediabistro.com,"So What Do You Do, Marvet Britto, President and CEO of The Britto Agency?",1
55,mediabistro.com,Why You Can’t Get a Job Without Solid Writing Skills,1
56,mediabistro.com,"Personal Essay Markets, Part I",0
57,mediabistro.com,How To Pitch: Real Simple,1
58,mediabistro.com,How to Know If That Job Posting Is a Scam,1
59,mediabistro.com,"So What Do You Do, Cathy Hughes, Founder of TV One and Radio One?",1
60,mediabistro.com,What Does a Journalist Do?,1
61,mediabistro.com,3 Tips For Writing a Speculative Cover Letter,1
62,mediabistro.com,What Does a Digital Sales Planner Do?,0
63,mediabistro.com,Six Tips to Help You Deal With Rejection From Editors,0
64,mediabistro.com,8 Ways to Move Up Faster In Your Marketing Career,1
65,mediabistro.com,Exciting Job Opportunities with Bloomberg,0
66,mediabistro.com,10 Secrets to Successful Pitches,0
67,mediabistro.com,7 Things to Know About Working With Creative Staffing Agencies,1
68,mediabistro.com,6 Brands Killing It on Social Media,0
69,mediabistro.com,What Does an Editorial Assistant Do?,1
70,mediabistro.com,8 Warning Signs You’ve Gotten an Offer From a Bad Employer,1
71,mediabistro.com,9 Things You Should Never Do on a Job Interview,1
72,mediabistro.com,10 Toxic Mistakes You Could Be Making As a Boss,1
73,mediabistro.com,The Web Analytics Skills You Need to Know,1
74,mediabistro.com,Set Up a Schedule to Keep Your Job Search on Track,0
75,mediabistro.com,7 KPIs of an Effective Website (And How to Measure),1
76,mediabistro.com,Do These Simple Things Today To Win Over Your Boss,1
77,mediabistro.com,The Beginner’s Guide to Freelance Writing,0
78,mediabistro.com,What Does a UX/UI Designer Do?,1
79,mediabistro.com,"So What Do You Do, Adam Glassman, Creative Director at O Magazine?",1
80,mediabistro.com,What Does a Marketing Coordinator Do?,1
81,mediabistro.com,How to Pitch for the Holidays,1
82,mediabistro.com,What Does a Marketing Manager Do?,1
83,mediabistro.com,6 Tips for Submitting Freelance Writing Clips,0
84,mediabistro.com,Talking Too Much in an Interview Can Cost You the Job. Here’s How to Fix It,1
85,mediabistro.com,How to Use Instagram to Find a Job,1
86,mediabistro.com,5 Spelling Errors That Can Torpedo Your Resume or Cover Letter,1
87,mediabistro.com,What Does a Web Designer Do?,1
88,mediabistro.com,4 Groups That Will Help You Work Your Network,1
89,mediabistro.com,Tricky Job Interview Questions and How to Answer Them,1
90,mediabistro.com,The Foolproof Guide to Bridging Gaps on Your Resume,1
91,mediabistro.com,Safety Resources for Freelance Journalists,0
92,mediabistro.com,What to Do When You Have Multiple Job Offers,1
93,mediabistro.com,What Does a Social Media Manager Do?,1
94,mediabistro.com,8 Key Steps After the Interview to Land the Job,0
95,mediabistro.com,What Does an SEO Copywriter Do?,1
96,mediabistro.com,What Does a Content Consultant Do?,1
97,mediabistro.com,How to Create a Data-Driven Social Media Strategy,0
98,mediabistro.com,4 Traits You Need to Work on a Political Campaign,1
99,mediabistro.com,My Year as a Content Farm Writer,0
